journal,issn-l,issn-e,categories
ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,1873-3727,"Chemistry, Physical"
ADVANCES IN COMPLEX SYSTEMS,0219-5259,1793-6802,"Mathematics, Interdisciplinary Applications | Multidisciplinary Sciences"
ADVANCES IN COMPUTATIONAL MATHEMATICS,1019-7168,1572-9044,"Mathematics, Applied"
ADVANCES IN CONCRETE CONSTRUCTION,2287-5301,2287-531X,"Construction & Building Technology | Engineering, Civil | Materials Science, Multidisciplinary"
ADVANCES IN CONDENSED MATTER PHYSICS,1687-8108,1687-8124,"Physics, Condensed Matter"
ADVANCES IN CONTINUOUS AND DISCRETE MODELS,,2731-4235,"Mathematics, Applied | Mathematics"
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,1862-5347,1862-5355,Statistics & Probability
ADVANCES IN DIFFERENTIAL EQUATIONS,1079-9389,1079-9389,"Mathematics, Applied | Mathematics"
ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,1582-7445,1844-7600,"Computer Science, Artificial Intelligence | Engineering, Electrical & Electronic"
ADVANCES IN ENGINEERING SOFTWARE,0965-9978,1873-5339,"Computer Science, Interdisciplinary Applications | Computer Science, Software Engineering | Engineering, Multidisciplinary"
ADVANCES IN GEOMETRY,1615-715X,1615-7168,Mathematics
ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,1573-1677,"Education, Scientific Disciplines | Health Care Sciences & Services"
ADVANCES IN HIGH ENERGY PHYSICS,1687-7357,1687-7365,"Physics, Particles & Fields"
ADVANCES IN KIDNEY DISEASE AND HEALTH,2949-8147,2949-8139,Urology & Nephrology
ADVANCES IN MANUFACTURING,2095-3127,2195-3597,"Engineering, Manufacturing | Materials Science, Multidisciplinary"
ADVANCES IN MATHEMATICAL PHYSICS,1687-9120,1687-9139,"Physics, Mathematical"
ADVANCES IN MATHEMATICS,0001-8708,1090-2082,Mathematics
ADVANCES IN MATHEMATICS OF COMMUNICATIONS,1930-5346,1930-5338,"Computer Science, Theory & Methods | Mathematics, Applied"
ADVANCES IN MECHANICAL ENGINEERING,1687-8132,1687-8140,"Thermodynamics | Engineering, Mechanical"
ADVANCES IN MEDICAL SCIENCES,1896-1126,1898-4002,"Medicine, Research & Experimental"
ADVANCES IN METEOROLOGY,1687-9309,1687-9317,Meteorology & Atmospheric Sciences
ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,2515-2459,2515-2467,Psychology
ADVANCES IN NANO RESEARCH,2287-237X,2287-2388,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary"
ADVANCES IN NEONATAL CARE,1536-0903,1536-0911,Nursing
ADVANCES IN NONLINEAR ANALYSIS,2191-9496,2191-950X,"Mathematics, Applied | Mathematics"
ADVANCES IN NURSING SCIENCE,0161-9268,1550-5014,Nursing
ADVANCES IN NUTRITION,2161-8313,2156-5376,Nutrition & Dietetics
ADVANCES IN OPTICS AND PHOTONICS,1943-8206,1943-8206,Optics
ADVANCES IN PHYSICS,0001-8732,1460-6976,"Physics, Condensed Matter"
ADVANCES IN PHYSICS-X,2374-6149,2374-6149,"Physics, Multidisciplinary"
ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046,1522-1229,"Education, Scientific Disciplines | Physiology"
ADVANCES IN POLYMER TECHNOLOGY,0730-6679,1098-2329,"Engineering, Chemical | Polymer Science"
ADVANCES IN PRODUCTION ENGINEERING & MANAGEMENT,1854-6250,1855-6531,"Engineering, Manufacturing | Materials Science, Multidisciplinary"
ADVANCES IN RHEUMATOLOGY,2523-3106,2523-3106,Rheumatology
ADVANCES IN SKIN & WOUND CARE,1527-7941,1538-8654,Dermatology | Nursing | Surgery
ADVANCES IN SPACE RESEARCH,0273-1177,1879-1948,"Engineering, Aerospace | Astronomy & Astrophysics | Geosciences, Multidisciplinary | Meteorology & Atmospheric Sciences"
ADVANCES IN STRUCTURAL ENGINEERING,1369-4332,2048-4011,"Construction & Building Technology | Engineering, Civil"
ADVANCES IN THEORETICAL AND MATHEMATICAL PHYSICS,1095-0761,1095-0753,"Physics, Particles & Fields | Physics, Mathematical"
ADVANCES IN THERAPY,0741-238X,1865-8652,"Medicine, Research & Experimental | Pharmacology & Pharmacy"
ADVANCES IN WATER RESOURCES,0309-1708,1872-9657,Water Resources
ADVANCES IN WEED SCIENCE,2675-9462,2675-9462,Plant Sciences | Agronomy
ADVANCES IN WOUND CARE,2162-1918,2162-1934,Dermatology
AEOLIAN RESEARCH,1875-9637,2212-1684,"Geography, Physical"
AEQUATIONES MATHEMATICAE,0001-9054,1420-8903,"Mathematics, Applied | Mathematics"
AEROBIOLOGIA,0393-5965,1573-3025,Biology | Environmental Sciences
AERONAUTICAL JOURNAL,0001-9240,2059-6464,"Engineering, Aerospace"
AEROSOL AND AIR QUALITY RESEARCH,1680-8584,2071-1409,Environmental Sciences
AEROSOL SCIENCE AND TECHNOLOGY,0278-6826,1521-7388,"Engineering, Chemical | Engineering, Mechanical | Environmental Sciences | Meteorology & Atmospheric Sciences"
AEROSPACE,,2226-4310,"Engineering, Aerospace"
AEROSPACE AMERICA,0740-722X,0740-722X,"Engineering, Aerospace"
AEROSPACE MEDICINE AND HUMAN PERFORMANCE,2375-6314,2375-6322,"Biophysics | Public, Environmental & Occupational Health | Medicine, Research & Experimental"
AEROSPACE SCIENCE AND TECHNOLOGY,1270-9638,1626-3219,"Engineering, Aerospace"
AESTHETIC PLASTIC SURGERY,0364-216X,1432-5241,Surgery
AESTHETIC SURGERY JOURNAL,1090-820X,1527-330X,Surgery
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,1434-8411,1618-0399,"Engineering, Electrical & Electronic | Telecommunications"
AFINIDAD,0001-9704,2339-9686,"Chemistry, Multidisciplinary"
AFRICAN BIODIVERSITY & CONSERVATION,3078-8048,3078-8056,Plant Sciences
AFRICAN ENTOMOLOGY,1021-3589,2254-8854,Entomology
AFRICAN HEALTH SCIENCES,1680-6905,1729-0503,"Medicine, General & Internal"
AFRICAN INVERTEBRATES,1681-5556,2305-2562,Entomology | Paleontology | Zoology
AFRICAN JOURNAL OF AQUATIC SCIENCE,1608-5914,1727-9364,Marine & Freshwater Biology
AFRICAN JOURNAL OF ECOLOGY,0141-6707,1365-2028,Ecology
AFRICAN JOURNAL OF EMERGENCY MEDICINE,2211-419X,2211-4203,Emergency Medicine
AFRICAN JOURNAL OF HERPETOLOGY,2156-4574,2153-3660,Zoology
AFRICAN JOURNAL OF MARINE SCIENCE,1814-232X,1814-2338,Marine & Freshwater Biology
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1022-0119,1727-9380,Ecology | Environmental Sciences
AFRICAN JOURNAL OF WILDLIFE RESEARCH,2410-7220,2410-8200,Ecology | Zoology
AFRICAN ZOOLOGY,1562-7020,2224-073X,Zoology
AGE AND AGEING,0002-0729,1468-2834,Geriatrics & Gerontology
AGEING RESEARCH REVIEWS,1568-1637,1872-9649,Cell Biology | Geriatrics & Gerontology
AGGRESSIVE BEHAVIOR,0096-140X,1098-2337,Behavioral Sciences
AGING AND DISEASE,2152-5250,2152-5250,Geriatrics & Gerontology
AGING CELL,1474-9718,1474-9726,Cell Biology | Geriatrics & Gerontology
AGING CLINICAL AND EXPERIMENTAL RESEARCH,1594-0667,1720-8319,Geriatrics & Gerontology
AGING MALE,1368-5538,1473-0790,Endocrinology & Metabolism | Urology & Nephrology
AGING & MENTAL HEALTH,1360-7863,1364-6915,Geriatrics & Gerontology | Psychiatry
AGRARFORSCHUNG SCHWEIZ,1663-7852,1663-7909,"Agriculture, Multidisciplinary"
AGREKON,0303-1853,2078-0400,Agricultural Economics & Policy
AGRIBUSINESS,0742-4477,1520-6297,Agricultural Economics & Policy | Food Science & Technology
AGRICULTURAL AND FOOD ECONOMICS,,2193-7532,Agricultural Economics & Policy
AGRICULTURAL AND FOOD SCIENCE,1459-6067,1795-1895,"Agriculture, Multidisciplinary | Food Science & Technology"
AGRICULTURAL AND FOREST ENTOMOLOGY,1461-9555,1461-9563,Entomology
AGRICULTURAL AND FOREST METEOROLOGY,0168-1923,1873-2240,Agronomy | Forestry | Meteorology & Atmospheric Sciences
AGRICULTURAL ECONOMICS,0169-5150,1574-0862,Agricultural Economics & Policy
AGRICULTURAL ECONOMICS-ZEMEDELSKA EKONOMIKA,0139-570X,1805-9295,Agricultural Economics & Policy
AGRICULTURAL & ENVIRONMENTAL LETTERS,,2471-9625,"Agriculture, Multidisciplinary | Environmental Sciences"
AGRICULTURAL HISTORY,0002-1482,1533-8290,History & Philosophy Of Science
AGRICULTURAL SYSTEMS,0308-521X,1873-2267,"Agriculture, Multidisciplinary"
AGRICULTURAL WATER MANAGEMENT,0378-3774,1873-2283,Agronomy | Water Resources
AGRICULTURE AND HUMAN VALUES,0889-048X,1572-8366,"Agriculture, Multidisciplinary | History & Philosophy Of Science"
AGRICULTURE-BASEL,,2077-0472,Agronomy
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1873-2305,"Agriculture, Multidisciplinary | Ecology | Environmental Sciences"
AGROCHIMICA,0002-1857,,"Chemistry, Applied | Soil Science"
AGROCIENCIA,1405-3195,2521-9766,"Agriculture, Multidisciplinary"
AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,2168-3565,2168-3573,"Agriculture, Multidisciplinary | Green & Sustainable Science & Technology"
AGROFORESTRY SYSTEMS,0167-4366,1572-9680,Agronomy | Forestry
AGRONOMY-BASEL,,2073-4395,Agronomy | Plant Sciences
AGRONOMY FOR SUSTAINABLE DEVELOPMENT,1774-0746,1773-0155,Agronomy | Green & Sustainable Science & Technology
AGRONOMY JOURNAL,0002-1962,1435-0645,Agronomy
AGU ADVANCES,,2576-604X,"Geosciences, Multidisciplinary"
AIAA JOURNAL,0001-1452,1533-385X,"Engineering, Aerospace"
AICHE JOURNAL,0001-1541,1547-5905,"Engineering, Chemical"
AIDS,0269-9370,1473-5571,Immunology | Infectious Diseases | Virology
AIDS PATIENT CARE AND STDS,1087-2914,1557-7449,Infectious Diseases
AIDS RESEARCH AND HUMAN RETROVIRUSES,0889-2229,1931-8405,Immunology | Infectious Diseases | Virology
AIDS RESEARCH AND THERAPY,1742-6405,1742-6405,Infectious Diseases
AIDS REVIEWS,1139-6121,1698-6997,Immunology | Infectious Diseases
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,0890-0604,1469-1760,"Computer Science, Artificial Intelligence | Computer Science, Interdisciplinary Applications | Engineering, Multidisciplinary | Engineering, Manufacturing"
AI MAGAZINE,0738-4602,2371-9621,"Computer Science, Artificial Intelligence"
AIMS MATHEMATICS,,2473-6988,"Mathematics, Applied | Mathematics"
AIN SHAMS ENGINEERING JOURNAL,2090-4479,2090-4495,"Engineering, Multidisciplinary"
AIP ADVANCES,,2158-3226,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied"
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,0002-2667,1758-4213,"Engineering, Aerospace"
AIR QUALITY ATMOSPHERE AND HEALTH,1873-9318,1873-9326,Environmental Sciences
AJAR-AFRICAN JOURNAL OF AIDS RESEARCH,1608-5906,1727-9445,"Public, Environmental & Occupational Health"
AKCE INTERNATIONAL JOURNAL OF GRAPHS AND COMBINATORICS,0972-8600,2543-3474,"Mathematics, Applied | Mathematics"
AKTUELLE RHEUMATOLOGIE,0341-051X,1438-9940,Rheumatology
AKTUELLE UROLOGIE,0001-7868,1438-8820,Urology & Nephrology
ALCHERINGA,0311-5518,1752-0754,Paleontology
ALCOHOL,0741-8329,1873-6823,Substance Abuse | Pharmacology & Pharmacy | Toxicology
ALCOHOL AND ALCOHOLISM,0735-0414,1464-3502,Substance Abuse
ALCOHOL-CLINICAL AND EXPERIMENTAL RESEARCH,,2993-7175,Substance Abuse
ALDRICHIMICA ACTA,0002-5100,,"Chemistry, Organic"
ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,1980-0436,,Statistics & Probability
ALEXANDRIA ENGINEERING JOURNAL,1110-0168,2090-2670,"Engineering, Multidisciplinary"
ALGAE,1226-2617,2093-0860,Plant Sciences | Marine & Freshwater Biology
ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,2211-9264,2211-9264,Biotechnology & Applied Microbiology
ALGEBRA AND LOGIC,0002-5232,1573-8302,Mathematics | Logic
ALGEBRA COLLOQUIUM,1005-3867,0219-1733,"Mathematics, Applied | Mathematics"
ALGEBRAIC AND GEOMETRIC TOPOLOGY,1472-2739,1472-2739,Mathematics
ALGEBRAIC GEOMETRY,2313-1691,2214-2584,Mathematics
ALGEBRA & NUMBER THEORY,1937-0652,1944-7833,Mathematics
ALGEBRAS AND REPRESENTATION THEORY,1386-923X,1572-9079,Mathematics
ALGEBRA UNIVERSALIS,0002-5240,1420-8911,Mathematics
ALGORITHMICA,0178-4617,1432-0541,"Computer Science, Software Engineering | Mathematics, Applied"
ALGORITHMS FOR MOLECULAR BIOLOGY,,1748-7188,Biochemical Research Methods | Biotechnology & Applied Microbiology | Mathematical & Computational Biology
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,0269-2813,1365-2036,Gastroenterology & Hepatology | Pharmacology & Pharmacy
ALL EARTH,,2766-9645,"Geosciences, Multidisciplinary"
ALLERGOLOGIA ET IMMUNOPATHOLOGIA,0301-0546,1578-1267,Allergy | Immunology
ALLERGOLOGIE,0344-5062,0344-5062,Allergy
ALLERGOLOGY INTERNATIONAL,1323-8930,1440-1592,Allergy | Immunology
ALLERGY,0105-4538,1398-9995,Allergy | Immunology
ALLERGY AND ASTHMA PROCEEDINGS,1088-5412,1539-6304,Allergy
ALLERGY ASTHMA AND CLINICAL IMMUNOLOGY,1710-1492,1710-1492,Allergy | Immunology
ALLERGY ASTHMA & IMMUNOLOGY RESEARCH,2092-7355,2092-7363,Allergy | Immunology
ALL LIFE,2689-5293,2689-5307,Multidisciplinary Sciences
ALPHA PSYCHIATRY,,2757-8038,Psychiatry
ALPINE BOTANY,1664-2201,1664-221X,Plant Sciences
ALTEX-ALTERNATIVES TO ANIMAL EXPERIMENTATION,1868-596X,1868-8551,"Medicine, Research & Experimental"
ALZHEIMER DISEASE & ASSOCIATED DISORDERS,0893-0341,0893-0341,Clinical Neurology | Pathology
ALZHEIMERS & DEMENTIA,1552-5260,1552-5279,Clinical Neurology
ALZHEIMERS RESEARCH & THERAPY,,1758-9193,Clinical Neurology | Neurosciences
AMA-AGRICULTURAL MECHANIZATION IN ASIA AFRICA AND LATIN AMERICA,0084-5841,,Agricultural Engineering
AMB EXPRESS,2191-0855,2191-0855,Biotechnology & Applied Microbiology
AMBIO,0044-7447,1654-7209,"Engineering, Environmental | Environmental Sciences"
AMBIX,0002-6980,1745-8234,History & Philosophy Of Science
AMEGHINIANA,0002-7014,1851-8044,Paleontology
AMERICAN BIOLOGY TEACHER,0002-7685,1938-4211,"Biology | Education, Scientific Disciplines"
AMERICAN CERAMIC SOCIETY BULLETIN,0002-7812,1945-2705,"Materials Science, Ceramics"
AMERICAN FAMILY PHYSICIAN,0002-838X,1532-0650,"Primary Health Care | Medicine, General & Internal"
AMERICAN FERN JOURNAL,0002-8444,1938-422X,Plant Sciences
AMERICAN HEALTH AND DRUG BENEFITS,1942-2962,1942-2970,Health Care Sciences & Services
AMERICAN HEART JOURNAL,0002-8703,1097-6744,Cardiac & Cardiovascular System
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,1467-8276,Agricultural Economics & Policy
AMERICAN JOURNAL OF ALZHEIMERS DISEASE AND OTHER DEMENTIAS,1533-3175,1938-2731,Geriatrics & Gerontology | Clinical Neurology
AMERICAN JOURNAL OF AUDIOLOGY,1059-0889,1558-9137,Audiology & Speech-Language Pathology | Otorhinolaryngology
AMERICAN JOURNAL OF BIOETHICS,1526-5161,1536-0075,Medical Ethics
AMERICAN JOURNAL OF BIOLOGICAL ANTHROPOLOGY,2692-7691,2692-7691,Evolutionary Biology
AMERICAN JOURNAL OF BOTANY,0002-9122,1537-2197,Plant Sciences
AMERICAN JOURNAL OF CANCER RESEARCH,2156-6976,2156-6976,Oncology
AMERICAN JOURNAL OF CARDIOLOGY,0002-9149,1879-1913,Cardiac & Cardiovascular System
AMERICAN JOURNAL OF CARDIOVASCULAR DRUGS,1175-3277,1179-187X,Cardiac & Cardiovascular System | Pharmacology & Pharmacy
AMERICAN JOURNAL OF CHINESE MEDICINE,0192-415X,1793-6853,"Integrative & Complementary Medicine | Medicine, General & Internal"
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,1175-0561,1179-1888,Dermatology
AMERICAN JOURNAL OF CLINICAL NUTRITION,0002-9165,1938-3207,Nutrition & Dietetics
AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS,0277-3732,1537-453X,Oncology
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,0002-9173,1943-7722,Pathology
AMERICAN JOURNAL OF CRITICAL CARE,1062-3264,1937-710X,Critical Care Medicine | Nursing
AMERICAN JOURNAL OF DENTISTRY,0894-8275,,"Dentistry, Oral Surgery & Medicine"
AMERICAN JOURNAL OF DERMATOPATHOLOGY,0193-1091,1533-0311,Dermatology
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,0095-2990,1097-9891,Substance Abuse
AMERICAN JOURNAL OF EMERGENCY MEDICINE,0735-6757,1532-8171,Emergency Medicine
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,0002-9254,1943-7749,Biotechnology & Applied Microbiology | Food Science & Technology | Horticulture
AMERICAN JOURNAL OF EPIDEMIOLOGY,0002-9262,1476-6256,"Public, Environmental & Occupational Health"
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,0195-7910,1533-404X,"Medicine, Legal | Pathology"
AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,1572-0241,Gastroenterology & Hepatology
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,1064-7481,1545-7214,Geriatrics & Gerontology | Psychiatry
AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY,1079-2082,1535-2900,Pharmacology & Pharmacy
AMERICAN JOURNAL OF HEMATOLOGY,0361-8609,1096-8652,Hematology
AMERICAN JOURNAL OF HOSPICE & PALLIATIVE MEDICINE,1049-9091,1938-2715,Health Care Sciences & Services
AMERICAN JOURNAL OF HUMAN BIOLOGY,1042-0533,1520-6300,Biology
AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,1537-6605,Genetics & Heredity
AMERICAN JOURNAL OF HYPERTENSION,0895-7061,1941-7225,Peripheral Vascular Diseases
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,0271-3586,1097-0274,"Public, Environmental & Occupational Health"
AMERICAN JOURNAL OF INFECTION CONTROL,0196-6553,1527-3296,"Public, Environmental & Occupational Health | Infectious Diseases"
AMERICAN JOURNAL OF KIDNEY DISEASES,0272-6386,1523-6838,Urology & Nephrology
AMERICAN JOURNAL OF MANAGED CARE,1088-0224,1936-2692,"Health Care Sciences & Services | Medicine, General & Internal"
AMERICAN JOURNAL OF MATHEMATICS,0002-9327,1080-6377,Mathematics
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,1552-4825,1552-4833,Genetics & Heredity
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,1552-4841,1552-485X,Genetics & Heredity | Psychiatry
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,1552-4868,1552-4876,Genetics & Heredity
AMERICAN JOURNAL OF MEDICAL QUALITY,1062-8606,1555-824X,Health Care Sciences & Services
AMERICAN JOURNAL OF MEDICINE,0002-9343,1555-7162,"Medicine, General & Internal"
AMERICAN JOURNAL OF NEPHROLOGY,0250-8095,1421-9670,Urology & Nephrology
AMERICAN JOURNAL OF NEURORADIOLOGY,0195-6108,1936-959X,"Clinical Neurology | Neuroimaging | Radiology, Nuclear Medicine & Medical Imaging"
AMERICAN JOURNAL OF NURSING,0002-936X,1538-7488,Nursing
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,0002-9378,1097-6868,Obstetrics & Gynecology
AMERICAN JOURNAL OF OBSTETRICS & GYNECOLOGY MFM,2589-9333,2589-9333,Obstetrics & Gynecology
AMERICAN JOURNAL OF OPHTHALMOLOGY,0002-9394,1879-1891,Ophthalmology
AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,0889-5406,1097-6752,"Dentistry, Oral Surgery & Medicine"
AMERICAN JOURNAL OF OTOLARYNGOLOGY,0196-0709,1532-818X,Otorhinolaryngology
AMERICAN JOURNAL OF PATHOLOGY,0002-9440,1525-2191,Pathology
AMERICAN JOURNAL OF PERINATOLOGY,0735-1631,1098-8785,Obstetrics & Gynecology | Pediatrics
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,0002-9459,1553-6467,"Education, Scientific Disciplines | Pharmacology & Pharmacy"
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,0894-9115,1537-7385,Rehabilitation | Sport Sciences
AMERICAN JOURNAL OF PHYSICS,0002-9505,1943-2909,"Education, Scientific Disciplines | Physics, Multidisciplinary"
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,0363-6143,1522-1563,Cell Biology | Physiology
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,0193-1849,1522-1555,Endocrinology & Metabolism | Physiology
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,0193-1857,1522-1547,Gastroenterology & Hepatology | Physiology
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539,Cardiac & Cardiovascular System | Physiology | Peripheral Vascular Diseases
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,1040-0605,1522-1504,Physiology | Respiratory System
"AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY, INTEGRATIVE AND COMPARATIVE PHYSIOLOGY",0363-6119,1522-1490,Physiology
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,1931-857X,1522-1466,Physiology | Urology & Nephrology
AMERICAN JOURNAL OF POTATO RESEARCH,1099-209X,1874-9380,Agronomy
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,0749-3797,1873-2607,"Public, Environmental & Occupational Health | Medicine, General & Internal"
AMERICAN JOURNAL OF PRIMATOLOGY,0275-2565,1098-2345,Zoology
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,1535-7228,Psychiatry
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,1541-0048,"Public, Environmental & Occupational Health"
AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,1046-7408,1600-0897,Immunology | Reproductive Biology
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970,Critical Care Medicine | Respiratory System
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,1044-1549,1535-4989,Biochemistry & Molecular Biology | Cell Biology | Respiratory System
AMERICAN JOURNAL OF RHINOLOGY & ALLERGY,1945-8924,1945-8932,Otorhinolaryngology
AMERICAN JOURNAL OF ROENTGENOLOGY,0361-803X,1546-3141,"Radiology, Nuclear Medicine & Medical Imaging"
AMERICAN JOURNAL OF SCIENCE,0002-9599,1945-452X,"Geosciences, Multidisciplinary"
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1058-0360,1558-9110,Audiology & Speech-Language Pathology | Rehabilitation
AMERICAN JOURNAL OF SPORTS MEDICINE,0363-5465,1552-3365,Orthopedics | Sport Sciences
AMERICAN JOURNAL OF SURGERY,0002-9610,1879-1883,Surgery
AMERICAN JOURNAL OF SURGICAL PATHOLOGY,0147-5185,1532-0979,Pathology | Surgery
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,0002-9629,1538-2990,"Medicine, General & Internal"
AMERICAN JOURNAL OF THERAPEUTICS,1075-2765,1536-3686,Pharmacology & Pharmacy
AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH,1943-8141,1943-8141,"Oncology | Medicine, Research & Experimental"
AMERICAN JOURNAL OF TRANSPLANTATION,1600-6135,1600-6143,Surgery | Transplantation
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,0002-9637,1476-1645,"Public, Environmental & Occupational Health | Tropical Medicine"
AMERICAN JOURNAL OF VETERINARY RESEARCH,0002-9645,1943-5681,Veterinary Sciences
