,journal,issn-l,issn-e,categories,oa-id
241,ADVANCED INTELLIGENT SYSTEMS,,2640-4567,"Automation & Control Systems | Computer Science, Artificial Intelligence | Robotics",
242,ADVANCED MATERIALS,0935-9648,1521-4095,"Chemistry, Multidisciplinary | Chemistry, Physical | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied | Physics, Condensed Matter",S99352657
243,ADVANCED MATERIALS INTERFACES,2196-7350,2196-7350,"Chemistry, Multidisciplinary | Materials Science, Multidisciplinary",S2764385675
244,ADVANCED MATERIALS & PROCESSES,0882-7958,2161-9425,"Materials Science, Multidisciplinary",S160938131
245,ADVANCED MATERIALS TECHNOLOGIES,2365-709X,2365-709X,"Materials Science, Multidisciplinary",S2765038284
246,ADVANCED NONLINEAR STUDIES,1536-1365,2169-0375,"Mathematics, Applied | Mathematics",S207995962
247,ADVANCED OPTICAL MATERIALS,2195-1071,2195-1071,"Materials Science, Multidisciplinary | Optics",S108229257
248,ADVANCED PHOTONICS,,2577-5421,Optics,
249,ADVANCED POWDER TECHNOLOGY,0921-8831,1568-5527,"Engineering, Chemical",S9304834
250,ADVANCED QUANTUM TECHNOLOGIES,,2511-9044,Quantum Science & Technology | Optics,
251,ADVANCED ROBOTICS,0169-1864,1568-5535,Robotics,S192584203
252,ADVANCED SCIENCE,,2198-3844,"Chemistry, Multidisciplinary | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",
253,ADVANCED STEEL CONSTRUCTION,1816-112X,,"Construction & Building Technology | Engineering, Civil | Materials Science, Characterization, Testing",S59167999
254,ADVANCED SUSTAINABLE SYSTEMS,2366-7486,2366-7486,"Green & Sustainable Science & Technology | Materials Science, Multidisciplinary",S4210217307
255,ADVANCED SYNTHESIS & CATALYSIS,1615-4150,1615-4169,"Chemistry, Applied | Chemistry, Organic",S36069537
256,ADVANCED THEORY AND SIMULATIONS,,2513-0390,Multidisciplinary Sciences,
257,ADVANCED THERAPEUTICS,,2366-3987,Pharmacology & Pharmacy,
258,ADVANCEMENTS OF MICROBIOLOGY,0079-4252,2545-3149,Microbiology,S1017472883
259,ADVANCES IN ANATOMIC PATHOLOGY,1072-4109,1533-4031,Pathology,S3815926
260,ADVANCES IN APPLIED CERAMICS,1743-6753,1743-6761,"Materials Science, Ceramics",S95601074
261,ADVANCES IN APPLIED CLIFFORD ALGEBRAS,0188-7009,1661-4909,"Mathematics, Applied | Physics, Mathematical",S76279167
262,ADVANCES IN APPLIED MATHEMATICS,0196-8858,1090-2074,"Mathematics, Applied",S164906323
263,ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,2070-0733,2075-1354,"Mathematics, Applied | Mechanics",S123777873
264,ADVANCES IN APPLIED PROBABILITY,0001-8678,1475-6064,Statistics & Probability,S180803011
265,ADVANCES IN ASTRONOMY,1687-7969,1687-7977,Astronomy & Astrophysics,S20854694
266,ADVANCES IN ATMOSPHERIC SCIENCES,0256-1530,1861-9533,Meteorology & Atmospheric Sciences,S63270775
267,ADVANCES IN CALCULUS OF VARIATIONS,1864-8258,1864-8266,"Mathematics, Applied | Mathematics",S71657983
268,ADVANCES IN CEMENT RESEARCH,0951-7197,1751-7605,"Construction & Building Technology | Materials Science, Multidisciplinary",S204969905
269,ADVANCES IN CIVIL ENGINEERING,1687-8086,1687-8094,"Construction & Building Technology | Engineering, Civil",S86499044
270,ADVANCES IN CLIMATE CHANGE RESEARCH,1674-9278,1674-9278,Environmental Sciences | Meteorology & Atmospheric Sciences,S2764744304
271,ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,1899-5276,2451-2680,"Medicine, Research & Experimental",S948795172
272,ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,1873-3727,"Chemistry, Physical",S28247071
273,ADVANCES IN COMPLEX SYSTEMS,0219-5259,1793-6802,"Mathematics, Interdisciplinary Applications | Multidisciplinary Sciences",S107361000
274,ADVANCES IN COMPUTATIONAL MATHEMATICS,1019-7168,1572-9044,"Mathematics, Applied",S57050787
275,ADVANCES IN CONCRETE CONSTRUCTION,2287-5301,2287-531X,"Construction & Building Technology | Engineering, Civil | Materials Science, Multidisciplinary",S4306500781
276,ADVANCES IN CONDENSED MATTER PHYSICS,1687-8108,1687-8124,"Physics, Condensed Matter",S2866984
277,ADVANCES IN CONTINUOUS AND DISCRETE MODELS,,2731-4235,"Mathematics, Applied | Mathematics",
278,ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,1862-5347,1862-5355,Statistics & Probability,S4210175730
279,ADVANCES IN DIFFERENTIAL EQUATIONS,1079-9389,1079-9389,"Mathematics, Applied | Mathematics",S7748972
280,ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,1582-7445,1844-7600,"Computer Science, Artificial Intelligence | Engineering, Electrical & Electronic",S114547688
281,ADVANCES IN ENGINEERING SOFTWARE,0965-9978,1873-5339,"Computer Science, Interdisciplinary Applications | Computer Science, Software Engineering | Engineering, Multidisciplinary",S16540516
282,ADVANCES IN GEOMETRY,1615-715X,1615-7168,Mathematics,S98057184
283,ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,1573-1677,"Education, Scientific Disciplines | Health Care Sciences & Services",S129194695
284,ADVANCES IN HIGH ENERGY PHYSICS,1687-7357,1687-7365,"Physics, Particles & Fields",S75771055
285,ADVANCES IN KIDNEY DISEASE AND HEALTH,2949-8147,2949-8139,Urology & Nephrology,
286,ADVANCES IN MANUFACTURING,2095-3127,2195-3597,"Engineering, Manufacturing | Materials Science, Multidisciplinary",S2764686670
287,ADVANCES IN MATHEMATICAL PHYSICS,1687-9120,1687-9139,"Physics, Mathematical",S69511584
288,ADVANCES IN MATHEMATICS,0001-8708,1090-2082,Mathematics,S122441808
289,ADVANCES IN MATHEMATICS OF COMMUNICATIONS,1930-5346,1930-5338,"Computer Science, Theory & Methods | Mathematics, Applied",S161492159
290,ADVANCES IN MECHANICAL ENGINEERING,1687-8132,1687-8140,"Thermodynamics | Engineering, Mechanical",S185389193
291,ADVANCES IN MEDICAL SCIENCES,1896-1126,1898-4002,"Medicine, Research & Experimental",S57025993
292,ADVANCES IN METEOROLOGY,1687-9309,1687-9317,Meteorology & Atmospheric Sciences,S19799837
293,ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,2515-2459,2515-2467,Psychology,S4210173062
294,ADVANCES IN NANO RESEARCH,2287-237X,2287-2388,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",S4306500795
295,ADVANCES IN NEONATAL CARE,1536-0903,1536-0911,Nursing,S67667785
296,ADVANCES IN NONLINEAR ANALYSIS,2191-9496,2191-950X,"Mathematics, Applied | Mathematics",S2764380143
297,ADVANCES IN NURSING SCIENCE,0161-9268,1550-5014,Nursing,S22017307
298,ADVANCES IN NUTRITION,2161-8313,2156-5376,Nutrition & Dietetics,S2491932416
299,ADVANCES IN OPTICS AND PHOTONICS,1943-8206,1943-8206,Optics,S191306374
300,ADVANCES IN PHYSICS,0001-8732,1460-6976,"Physics, Condensed Matter",S137691401
301,ADVANCES IN PHYSICS-X,2374-6149,2374-6149,"Physics, Multidisciplinary",S4210225969
302,ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046,1522-1229,"Education, Scientific Disciplines | Physiology",S95725323
303,ADVANCES IN POLYMER TECHNOLOGY,0730-6679,1098-2329,"Engineering, Chemical | Polymer Science",S48230929
304,ADVANCES IN PRODUCTION ENGINEERING & MANAGEMENT,1854-6250,1855-6531,"Engineering, Manufacturing | Materials Science, Multidisciplinary",S955515294
305,ADVANCES IN RHEUMATOLOGY,2523-3106,2523-3106,Rheumatology,S4210216083
306,ADVANCES IN SKIN & WOUND CARE,1527-7941,1538-8654,Dermatology | Nursing | Surgery,S162191074
307,ADVANCES IN SPACE RESEARCH,0273-1177,1879-1948,"Engineering, Aerospace | Astronomy & Astrophysics | Geosciences, Multidisciplinary | Meteorology & Atmospheric Sciences",S113313948
308,ADVANCES IN STRUCTURAL ENGINEERING,1369-4332,2048-4011,"Construction & Building Technology | Engineering, Civil",S104737098
309,ADVANCES IN THEORETICAL AND MATHEMATICAL PHYSICS,1095-0761,1095-0753,"Physics, Particles & Fields | Physics, Mathematical",S207372152
310,ADVANCES IN THERAPY,0741-238X,1865-8652,"Medicine, Research & Experimental | Pharmacology & Pharmacy",S27230875
311,ADVANCES IN WATER RESOURCES,0309-1708,1872-9657,Water Resources,S145524021
312,ADVANCES IN WEED SCIENCE,2675-9462,2675-9462,Plant Sciences | Agronomy,S4210206544
313,ADVANCES IN WOUND CARE,2162-1918,2162-1934,Dermatology,S2764409288
314,AEOLIAN RESEARCH,1875-9637,2212-1684,"Geography, Physical",S105722520
315,AEQUATIONES MATHEMATICAE,0001-9054,1420-8903,"Mathematics, Applied | Mathematics",S150892397
316,AEROBIOLOGIA,0393-5965,1573-3025,Biology | Environmental Sciences,S12507409
317,AERONAUTICAL JOURNAL,0001-9240,2059-6464,"Engineering, Aerospace",S2764989785
318,AEROSOL AND AIR QUALITY RESEARCH,1680-8584,2071-1409,Environmental Sciences,S103097414
319,AEROSOL SCIENCE AND TECHNOLOGY,0278-6826,1521-7388,"Engineering, Chemical | Engineering, Mechanical | Environmental Sciences | Meteorology & Atmospheric Sciences",S111181672
320,AEROSPACE,,2226-4310,"Engineering, Aerospace",
321,AEROSPACE AMERICA,0740-722X,0740-722X,"Engineering, Aerospace",S157018258
322,AEROSPACE MEDICINE AND HUMAN PERFORMANCE,2375-6314,2375-6322,"Biophysics | Public, Environmental & Occupational Health | Medicine, Research & Experimental",S2764403496
323,AEROSPACE SCIENCE AND TECHNOLOGY,1270-9638,1626-3219,"Engineering, Aerospace",S61564791
324,AESTHETIC PLASTIC SURGERY,0364-216X,1432-5241,Surgery,S22523967
325,AESTHETIC SURGERY JOURNAL,1090-820X,1527-330X,Surgery,S193626562
326,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,1434-8411,1618-0399,"Engineering, Electrical & Electronic | Telecommunications",S141761900
327,AFINIDAD,0001-9704,2339-9686,"Chemistry, Multidisciplinary",S192916955
328,AFRICAN BIODIVERSITY & CONSERVATION,3078-8048,3078-8056,Plant Sciences,
329,AFRICAN ENTOMOLOGY,1021-3589,2254-8854,Entomology,S117207475
330,AFRICAN HEALTH SCIENCES,1680-6905,1729-0503,"Medicine, General & Internal",S167982310
331,AFRICAN INVERTEBRATES,1681-5556,2305-2562,Entomology | Paleontology | Zoology,S48434751
332,AFRICAN JOURNAL OF AQUATIC SCIENCE,1608-5914,1727-9364,Marine & Freshwater Biology,S169546945
333,AFRICAN JOURNAL OF ECOLOGY,0141-6707,1365-2028,Ecology,S14053799
334,AFRICAN JOURNAL OF EMERGENCY MEDICINE,2211-419X,2211-4203,Emergency Medicine,S2738564287
335,AFRICAN JOURNAL OF HERPETOLOGY,2156-4574,2153-3660,Zoology,S170012901
336,AFRICAN JOURNAL OF MARINE SCIENCE,1814-232X,1814-2338,Marine & Freshwater Biology,S121195568
337,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1022-0119,1727-9380,Ecology | Environmental Sciences,S98916874
338,AFRICAN JOURNAL OF WILDLIFE RESEARCH,2410-7220,2410-8200,Ecology | Zoology,S2764636758
339,AFRICAN ZOOLOGY,1562-7020,2224-073X,Zoology,S5885750
340,AGE AND AGEING,0002-0729,1468-2834,Geriatrics & Gerontology,S31768639
341,AGEING RESEARCH REVIEWS,1568-1637,1872-9649,Cell Biology | Geriatrics & Gerontology,S117312820
342,AGGRESSIVE BEHAVIOR,0096-140X,1098-2337,Behavioral Sciences,S45897893
343,AGING AND DISEASE,2152-5250,2152-5250,Geriatrics & Gerontology,S2738790859
344,AGING CELL,1474-9718,1474-9726,Cell Biology | Geriatrics & Gerontology,S174672550
345,AGING CLINICAL AND EXPERIMENTAL RESEARCH,1594-0667,1720-8319,Geriatrics & Gerontology,S107309357
346,AGING MALE,1368-5538,1473-0790,Endocrinology & Metabolism | Urology & Nephrology,S172622653
347,AGING & MENTAL HEALTH,1360-7863,1364-6915,Geriatrics & Gerontology | Psychiatry,S165966931
348,AGRARFORSCHUNG SCHWEIZ,1663-7852,1663-7909,"Agriculture, Multidisciplinary",S2490815337
349,AGREKON,0303-1853,2078-0400,Agricultural Economics & Policy,S193176721
350,AGRIBUSINESS,0742-4477,1520-6297,Agricultural Economics & Policy | Food Science & Technology,S180723199
351,AGRICULTURAL AND FOOD ECONOMICS,,2193-7532,Agricultural Economics & Policy,
352,AGRICULTURAL AND FOOD SCIENCE,1459-6067,1795-1895,"Agriculture, Multidisciplinary | Food Science & Technology",S166660306
353,AGRICULTURAL AND FOREST ENTOMOLOGY,1461-9555,1461-9563,Entomology,S27810548
354,AGRICULTURAL AND FOREST METEOROLOGY,0168-1923,1873-2240,Agronomy | Forestry | Meteorology & Atmospheric Sciences,S17729819
355,AGRICULTURAL ECONOMICS,0169-5150,1574-0862,Agricultural Economics & Policy,S154775064
356,AGRICULTURAL ECONOMICS-ZEMEDELSKA EKONOMIKA,0139-570X,1805-9295,Agricultural Economics & Policy,S980556082
357,AGRICULTURAL & ENVIRONMENTAL LETTERS,,2471-9625,"Agriculture, Multidisciplinary | Environmental Sciences",
358,AGRICULTURAL HISTORY,0002-1482,1533-8290,History & Philosophy Of Science,S12513068
359,AGRICULTURAL SYSTEMS,0308-521X,1873-2267,"Agriculture, Multidisciplinary",S157560195
360,AGRICULTURAL WATER MANAGEMENT,0378-3774,1873-2283,Agronomy | Water Resources,S104641133
361,AGRICULTURE AND HUMAN VALUES,0889-048X,1572-8366,"Agriculture, Multidisciplinary | History & Philosophy Of Science",S78512408
362,AGRICULTURE-BASEL,,2077-0472,Agronomy,
363,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1873-2305,"Agriculture, Multidisciplinary | Ecology | Environmental Sciences",S185297315
364,AGROCHIMICA,0002-1857,,"Chemistry, Applied | Soil Science",S111356358
365,AGROCIENCIA,1405-3195,2521-9766,"Agriculture, Multidisciplinary",S4210195476
366,AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,2168-3565,2168-3573,"Agriculture, Multidisciplinary | Green & Sustainable Science & Technology",S4210197466
367,AGROFORESTRY SYSTEMS,0167-4366,1572-9680,Agronomy | Forestry,S186231457
368,AGRONOMY-BASEL,,2073-4395,Agronomy | Plant Sciences,
369,AGRONOMY FOR SUSTAINABLE DEVELOPMENT,1774-0746,1773-0155,Agronomy | Green & Sustainable Science & Technology,S17425584
370,AGRONOMY JOURNAL,0002-1962,1435-0645,Agronomy,S139950591
371,AGU ADVANCES,,2576-604X,"Geosciences, Multidisciplinary",
372,AIAA JOURNAL,0001-1452,1533-385X,"Engineering, Aerospace",S53336109
373,AICHE JOURNAL,0001-1541,1547-5905,"Engineering, Chemical",S147177414
374,AIDS,0269-9370,1473-5571,Immunology | Infectious Diseases | Virology,S20605092
375,AIDS PATIENT CARE AND STDS,1087-2914,1557-7449,Infectious Diseases,S14583120
376,AIDS RESEARCH AND HUMAN RETROVIRUSES,0889-2229,1931-8405,Immunology | Infectious Diseases | Virology,S161282271
377,AIDS RESEARCH AND THERAPY,1742-6405,1742-6405,Infectious Diseases,S22960011
378,AIDS REVIEWS,1139-6121,1698-6997,Immunology | Infectious Diseases,S115796062
379,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,0890-0604,1469-1760,"Computer Science, Artificial Intelligence | Computer Science, Interdisciplinary Applications | Engineering, Multidisciplinary | Engineering, Manufacturing",S4210193102
380,AI MAGAZINE,0738-4602,2371-9621,"Computer Science, Artificial Intelligence",S163019073
381,AIMS MATHEMATICS,,2473-6988,"Mathematics, Applied | Mathematics",
382,AIN SHAMS ENGINEERING JOURNAL,2090-4479,2090-4495,"Engineering, Multidisciplinary",S2764993483
383,AIP ADVANCES,,2158-3226,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied",
384,AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,0002-2667,1758-4213,"Engineering, Aerospace",S4210219807
385,AIR QUALITY ATMOSPHERE AND HEALTH,1873-9318,1873-9326,Environmental Sciences,S207573527
386,AJAR-AFRICAN JOURNAL OF AIDS RESEARCH,1608-5906,1727-9445,"Public, Environmental & Occupational Health",S71005283
387,AKCE INTERNATIONAL JOURNAL OF GRAPHS AND COMBINATORICS,0972-8600,2543-3474,"Mathematics, Applied | Mathematics",S2764899362
388,AKTUELLE RHEUMATOLOGIE,0341-051X,1438-9940,Rheumatology,S88781041
389,AKTUELLE UROLOGIE,0001-7868,1438-8820,Urology & Nephrology,S197016887
390,ALCHERINGA,0311-5518,1752-0754,Paleontology,S77999381
391,ALCOHOL,0741-8329,1873-6823,Substance Abuse | Pharmacology & Pharmacy | Toxicology,S143406092
392,ALCOHOL AND ALCOHOLISM,0735-0414,1464-3502,Substance Abuse,S102424854
393,ALCOHOL-CLINICAL AND EXPERIMENTAL RESEARCH,,2993-7175,Substance Abuse,
394,ALDRICHIMICA ACTA,0002-5100,,"Chemistry, Organic",S661825
395,ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,1980-0436,,Statistics & Probability,S2475989817
396,ALEXANDRIA ENGINEERING JOURNAL,1110-0168,2090-2670,"Engineering, Multidisciplinary",S2764413287
397,ALGAE,1226-2617,2093-0860,Plant Sciences | Marine & Freshwater Biology,S17783658
398,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,2211-9264,2211-9264,Biotechnology & Applied Microbiology,S2502055758
399,ALGEBRA AND LOGIC,0002-5232,1573-8302,Mathematics | Logic,S67922921
400,ALGEBRA COLLOQUIUM,1005-3867,0219-1733,"Mathematics, Applied | Mathematics",S175014900
401,ALGEBRAIC AND GEOMETRIC TOPOLOGY,1472-2739,1472-2739,Mathematics,S106486924
402,ALGEBRAIC GEOMETRY,2313-1691,2214-2584,Mathematics,S4210177002
403,ALGEBRA & NUMBER THEORY,1937-0652,1944-7833,Mathematics,S184416969
404,ALGEBRAS AND REPRESENTATION THEORY,1386-923X,1572-9079,Mathematics,S75938328
405,ALGEBRA UNIVERSALIS,0002-5240,1420-8911,Mathematics,S178702154
406,ALGORITHMICA,0178-4617,1432-0541,"Computer Science, Software Engineering | Mathematics, Applied",S89324355
407,ALGORITHMS FOR MOLECULAR BIOLOGY,,1748-7188,Biochemical Research Methods | Biotechnology & Applied Microbiology | Mathematical & Computational Biology,
408,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,0269-2813,1365-2036,Gastroenterology & Hepatology | Pharmacology & Pharmacy,S158079644
409,ALL EARTH,,2766-9645,"Geosciences, Multidisciplinary",
410,ALLERGOLOGIA ET IMMUNOPATHOLOGIA,0301-0546,1578-1267,Allergy | Immunology,S4210205432
411,ALLERGOLOGIE,0344-5062,0344-5062,Allergy,S131891354
412,ALLERGOLOGY INTERNATIONAL,1323-8930,1440-1592,Allergy | Immunology,S116585092
413,ALLERGY,0105-4538,1398-9995,Allergy | Immunology,S68090385
414,ALLERGY AND ASTHMA PROCEEDINGS,1088-5412,1539-6304,Allergy,S49250914
415,ALLERGY ASTHMA AND CLINICAL IMMUNOLOGY,1710-1492,1710-1492,Allergy | Immunology,S658968
416,ALLERGY ASTHMA & IMMUNOLOGY RESEARCH,2092-7355,2092-7363,Allergy | Immunology,S8319085
417,ALL LIFE,2689-5293,2689-5307,Multidisciplinary Sciences,S4210225714
418,ALPHA PSYCHIATRY,,2757-8038,Psychiatry,
419,ALPINE BOTANY,1664-2201,1664-221X,Plant Sciences,S2505486193
420,ALTEX-ALTERNATIVES TO ANIMAL EXPERIMENTATION,1868-596X,1868-8551,"Medicine, Research & Experimental",S4210171861
421,ALZHEIMER DISEASE & ASSOCIATED DISORDERS,0893-0341,0893-0341,Clinical Neurology | Pathology,S107889856
422,ALZHEIMERS & DEMENTIA,1552-5260,1552-5279,Clinical Neurology,S108427512
423,ALZHEIMERS RESEARCH & THERAPY,,1758-9193,Clinical Neurology | Neurosciences,
424,AMA-AGRICULTURAL MECHANIZATION IN ASIA AFRICA AND LATIN AMERICA,0084-5841,,Agricultural Engineering,S126773071
425,AMB EXPRESS,2191-0855,2191-0855,Biotechnology & Applied Microbiology,S129630946
426,AMBIO,0044-7447,1654-7209,"Engineering, Environmental | Environmental Sciences",S46982553
427,AMBIX,0002-6980,1745-8234,History & Philosophy Of Science,S128255347
428,AMEGHINIANA,0002-7014,1851-8044,Paleontology,S168523221
429,AMERICAN BIOLOGY TEACHER,0002-7685,1938-4211,"Biology | Education, Scientific Disciplines",S191833357
430,AMERICAN CERAMIC SOCIETY BULLETIN,0002-7812,1945-2705,"Materials Science, Ceramics",S146895946
431,AMERICAN FAMILY PHYSICIAN,0002-838X,1532-0650,"Primary Health Care | Medicine, General & Internal",S154286738
432,AMERICAN FERN JOURNAL,0002-8444,1938-422X,Plant Sciences,S182829932
433,AMERICAN HEALTH AND DRUG BENEFITS,1942-2962,1942-2970,Health Care Sciences & Services,S2765035179
434,AMERICAN HEART JOURNAL,0002-8703,1097-6744,Cardiac & Cardiovascular System,S46995015
435,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,1467-8276,Agricultural Economics & Policy,S91754907
436,AMERICAN JOURNAL OF ALZHEIMERS DISEASE AND OTHER DEMENTIAS,1533-3175,1938-2731,Geriatrics & Gerontology | Clinical Neurology,S1037846118
437,AMERICAN JOURNAL OF AUDIOLOGY,1059-0889,1558-9137,Audiology & Speech-Language Pathology | Otorhinolaryngology,S37662143
438,AMERICAN JOURNAL OF BIOETHICS,1526-5161,1536-0075,Medical Ethics,S41709181
439,AMERICAN JOURNAL OF BIOLOGICAL ANTHROPOLOGY,2692-7691,2692-7691,Evolutionary Biology,S4394736957
440,AMERICAN JOURNAL OF BOTANY,0002-9122,1537-2197,Plant Sciences,S205086949
441,AMERICAN JOURNAL OF CANCER RESEARCH,2156-6976,2156-6976,Oncology,S198195518
442,AMERICAN JOURNAL OF CARDIOLOGY,0002-9149,1879-1913,Cardiac & Cardiovascular System,S185186944
443,AMERICAN JOURNAL OF CARDIOVASCULAR DRUGS,1175-3277,1179-187X,Cardiac & Cardiovascular System | Pharmacology & Pharmacy,S151621711
444,AMERICAN JOURNAL OF CHINESE MEDICINE,0192-415X,1793-6853,"Integrative & Complementary Medicine | Medicine, General & Internal",S118315377
445,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,1175-0561,1179-1888,Dermatology,S71020152
446,AMERICAN JOURNAL OF CLINICAL NUTRITION,0002-9165,1938-3207,Nutrition & Dietetics,S71285955
447,AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS,0277-3732,1537-453X,Oncology,S130927242
448,AMERICAN JOURNAL OF CLINICAL PATHOLOGY,0002-9173,1943-7722,Pathology,S15871148
449,AMERICAN JOURNAL OF CRITICAL CARE,1062-3264,1937-710X,Critical Care Medicine | Nursing,S76904441
